,ID,band_gap,a,b,c,alpha,beta,gamma,piezo_modulus
191,mp-770690,0.5237999999999996,9.158020086685243,8.013801181013319,5.734656057147183,81.75155811196804,59.99418731060326,38.287602620782586,1.0438663782304727
192,mp-540900,0.8153000000000001,16.70806185417057,16.70806185417057,5.42117964,90.0,90.0,161.176104972623,0.142845
193,mp-29314,0.6053000000000002,9.052005,9.052005,9.052005,90.0,90.0,90.0,0.4969287708515194
194,mp-23400,3.4112999999999998,4.681438,7.55763,13.886053,90.0,90.0,90.0,1.0007950479764394
195,mp-5707,4.6128,7.363088770359895,7.363088770359895,7.363088770359895,60.00000000000001,60.00000000000001,60.00000000000001,0.2010853298975338
196,mp-626256,3.7619,4.76599176,4.76599176,4.76599176,90.0,90.0,90.0,0.06320640869405571
197,mp-560632,4.0336,4.982699,5.608574475492413,5.868929994621677,110.09762435976731,89.17171558466369,114.31935990156063,0.25146709685364865
198,mp-755571,1.9553,2.69427722,2.6942762026731035,4.37601889,90.0,90.0,119.99998793495539,0.6200631557898385
199,mp-2565,1.6967999999999999,6.473218917443392,6.479179846672802,12.398739025667973,75.8403413713521,75.8531286821279,79.61991250226397,0.05735393796418865
200,mp-850407,4.1674,4.827654140541204,4.827654140541204,4.827654140541204,59.99999999999999,59.99999999999999,59.99999999999999,0.9078499999999999
201,mp-765470,3.3549,4.537531966276161,4.537531966276161,4.537531966276161,141.12697159683734,141.12697159683734,56.146083447804685,0.5346099139559609
202,mp-15492,3.2222999999999997,5.91231198,5.91231198,6.790280118268543,115.80763768579891,115.80763768579891,90.0,0.009680291378642047
203,mp-37267,7.3745,4.732418199108148,4.732418199108148,4.732418199108148,60.00000000000001,60.00000000000001,60.00000000000001,0.6212303307326782
204,mp-1228724,0.9137000000000004,3.31793734,3.317937846204694,16.65814242,90.0,90.0,120.0000260060297,0.11420000000000001
205,mp-754519,1.5556,6.891402935664368,6.891402935664368,6.891402935664368,109.47122063449069,109.47122063449069,109.47122063449069,13.807122904909972
206,mp-755337,2.5126,5.524574599866441,5.659677194837717,5.0048061,90.0,90.0,120.81229932855163,1.0913783125234031
207,mp-626721,3.5576999999999996,6.009588852707397,11.774890245970193,6.02764515447766,104.83032443221434,120.09987964036172,75.2629079794682,0.18942785909152857
208,mp-23894,3.9942,6.705039,6.777122828390599,6.966502170796044,92.92478779126064,117.86757225013069,117.50319235837416,0.5837454501749886
209,mp-27167,2.4355999999999995,5.286428935295168,5.2863441313193,5.644261117561005,62.06167628202988,62.05260244317477,59.99856682800096,0.30206
210,mp-36066,5.0722000000000005,7.25943889,7.27392100514683,7.86713448043884,116.58666133216013,90.0,119.934161219633,0.5884305088648792
211,mp-3228,1.3525,4.0527681012756505,5.676360308767229,10.660172408147604,90.36221570649874,89.9997335816748,110.91809884301013,0.3407820976812015
212,mp-754014,0.5225,5.494943139509271,5.494943139509271,5.494943357792235,90.61278910891612,90.61278910891612,90.61278797581284,0.3378446111807954
213,mp-28096,2.8804,11.023984350283067,11.023984350283067,11.023984350283067,102.08374815842569,102.08374815842569,125.54326792469223,0.044876363167731595
214,mp-1023924,1.6605999999999999,4.24474429,6.8128921,13.78310078,90.0,90.0,90.0,0.2981868917427232
215,mp-11321,3.2384999999999997,5.12804590666396,5.12804590666396,12.256575,90.0,90.0,119.99999879582536,0.33077802291603675
